name,date_for_local_environment,lon,lat
   1982162N09309,11/06/1982 18:00,-49.4,8.1
   1982162N03180,12/06/1982 0:00,-179.3,2.6
   1982162N08198,12/06/1982 12:00,-158.7,10
   1982162N08157,12/06/1982 18:00,146.3,5
   1982163N07271,12/06/1982 0:00,-89.5,6.9
   1982163N10086,13/06/1982 0:00,89.1,11.6
   1982163N04158,13/06/1982 6:00,159,9.5
   1982163N12279,12/06/1982 18:00,-80.9,11.8
   1982164N15081,14/06/1982 18:00,83.5,16.7
   1982164N01140,15/06/1982 6:00,133.2,5.2
   1982165N09116,15/06/1982 0:00,112.4,8.2
   1982165N08310,15/06/1982 6:00,-49.2,7.7
   1982165N06206,15/06/1982 18:00,-144.3,8.1
   1982166N21280,17/06/1982 18:00,-78.4,6.4
   1982166N21277,16/06/1982 12:00,-84.9,21.8
   1982166N06129,16/06/1982 18:00,125.9,7
   1982166N07142,16/06/1982 6:00,140.7,9.1
   1982167N06143,17/06/1982 0:00,143.3,-0.4
   1982167N06122,17/06/1982 0:00,122.9,5.5
   1982168N09301,18/06/1982 18:00,-60.4,15.5
   1982168N18092,18/06/1982 0:00,93.2,18
   1982168N07180,18/06/1982 12:00,-174.9,6.6
   1982169N06315,18/06/1982 6:00,-44.8,6.2
   1982169N05136,18/06/1982 18:00,136.7,2.7
   1982169N27121,19/06/1982 12:00,120.1,26
   1982169N10131,18/06/1982 18:00,131.2,10.5
   1982169N03150,18/06/1982 18:00,150.2,3
   1982170N17094,20/06/1982 0:00,93.5,14.8
   1982170N28130,21/06/1982 0:00,139.9,29.9
   1982170N03281,20/06/1982 12:00,-80,6
   1982170N05220,19/06/1982 18:00,-139.7,5
   1982171N19092,21/06/1982 6:00,93.4,16.1
   1982172N28126,21/06/1982 18:00,129.5,27.1
   1982172N05134,22/06/1982 0:00,126,3.5
   1982172N03155,22/06/1982 12:00,158.7,7.9
   1982173N09115,22/06/1982 12:00,115,13
   1982173N17280,23/06/1982 12:00,-83.1,16.9
   1982173N07259,24/06/1982 6:00,-101.2,7.3
   1982173N09209,23/06/1982 6:00,-155.2,9.9
   1982173N08129,24/06/1982 6:00,134.4,8.4
   1982174N00178,23/06/1982 18:00,173.6,3.5
   1982174N07248,23/06/1982 18:00,-113.8,7.6
   1982174N05213,24/06/1982 18:00,-155.9,6.2
   1982174N09278,25/06/1982 18:00,-82.7,10.2
   1982175N08114,24/06/1982 0:00,113.8,7.8
   1982175N17090,25/06/1982 18:00,93.6,15.9
   1982176N15265,26/06/1982 6:00,-99.9,16.5
   1982176N09152,25/06/1982 12:00,150.6,9.9
   1982176N06270,25/06/1982 18:00,-88.6,6.5
   1982176N10128,26/06/1982 0:00,129.1,10.4
   1982177N06190,26/06/1982 12:00,-171.8,5.5
   1982177N05227,28/06/1982 18:00,-136.6,9.5
   1982178N13246,28/06/1982 12:00,-112.4,12.8
   1982178N10278,28/06/1982 0:00,-80.3,8.1
   1982178N17093,28/06/1982 18:00,93.6,15.3
   1982178N06166,28/06/1982 18:00,160.9,1.1
   1982178N10149,28/06/1982 12:00,146.8,12.5
   1982179N23122,29/06/1982 18:00,126.1,21
   1982179N11241,29/06/1982 12:00,-122,12.8
   1982179N09255,29/06/1982 0:00,-106.8,8.8
   1982180N19091,29/06/1982 0:00,90.6,18.5
   1982180N05270,29/06/1982 12:00,-90.9,5.8
   1982181N17087,1/07/1982 12:00,93.6,15.4
   1982181N22131,1/07/1982 12:00,129.3,22.8
   1982181N04283,1/07/1982 12:00,-81.4,5.7
   1982181N02146,2/07/1982 6:00,139,7
   1982181N10235,2/07/1982 6:00,-134.7,10.4
   1982182N01086,1/07/1982 12:00,85.5,-0.8
   1982182N07165,2/07/1982 12:00,164.3,2
   1982182N05271,2/07/1982 6:00,-90.3,7
   1982183N25140,3/07/1982 0:00,148.6,29.5
   1982183N07211,3/07/1982 0:00,-149.4,6.9
   1982184N08174,4/07/1982 18:00,171.8,4.3
   1982184N08347,3/07/1982 18:00,-17.5,10.8
   1982184N08261,3/07/1982 12:00,-101.4,8.3
   1982184N16120,4/07/1982 6:00,118.8,15.6
   1982184N07273,3/07/1982 12:00,-87.5,7.3
   1982184N09250,4/07/1982 12:00,-109.8,4.8
   1982184N05191,5/07/1982 0:00,-179,8.1
   1982185N06281,5/07/1982 0:00,-82.2,9.4
   1982186N11203,5/07/1982 12:00,-155.6,8.8
   1982186N12123,5/07/1982 18:00,126.5,12.5
   1982187N15086,7/07/1982 0:00,87,13.3
   1982187N09133,7/07/1982 0:00,133.8,7.9
   1982187N14154,7/07/1982 6:00,147.3,11.3
   1982190N06179,11/07/1982 18:00,165.2,5.8
   1982190N06233,10/07/1982 12:00,-129.4,8
   1982190N05267,10/07/1982 0:00,-94.1,7.1
   1982190N22253,9/07/1982 12:00,-107.4,21.8
   1982190N21302,10/07/1982 12:00,-62.4,21.9
   1982191N08257,11/07/1982 12:00,-105.5,10.7
   1982191N11192,11/07/1982 0:00,-167.4,9.9
   1982192N11301,11/07/1982 0:00,-59.1,11.2
   1982192N11344,12/07/1982 6:00,-19.9,10.9
   1982192N12116,11/07/1982 12:00,115.2,11.9
   1982193N02101,12/07/1982 0:00,100.7,2.2
   1982193N12069,12/07/1982 12:00,72.4,10.3
   1982193N08281,13/07/1982 0:00,-87.2,4.7
   1982193N05204,13/07/1982 0:00,-155.4,8.8
   1982194N07263,14/07/1982 0:00,-91.5,6
   1982195N20070,15/07/1982 18:00,66.3,21.8
   1982195N09344,14/07/1982 12:00,-15.6,9.4
   1982195N08144,17/07/1982 0:00,132.5,14
   1982196N13091,16/07/1982 6:00,93.7,8
   1982196N06281,15/07/1982 18:00,-79,5.9
   1982197N08106,17/07/1982 0:00,107,4
   1982197N06187,16/07/1982 18:00,-172,8.8
   1982198N10181,19/07/1982 18:00,179.7,10
   1982198N08260,17/07/1982 18:00,-95.2,7.7
   1982198N14087,18/07/1982 18:00,95.3,14.2
   1982198N11093,19/07/1982 18:00,90.5,2.2
